City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
260,Fairbanks,US,64.8378,-147.7164,19.99,78,1,3.15,clear sky
261,Minot,US,48.2325,-101.2963,19.99,85,75,3.44,broken clouds
262,Dawson Creek,CA,55.7666,-120.2362,14.0,92,75,2.3,broken clouds
263,Lorengau,PG,-2.0226,147.2712,80.56,74,78,5.26,broken clouds
264,Antofagasta,CL,-23.65,-70.4,75.99,73,20,11.5,few clouds
265,Mackenzie,CA,55.2999,-123.1698,10.4,85,90,5.75,light snow
266,El Limon,VE,10.3059,-67.6321,81.19,58,86,1.86,overcast clouds
267,Alice Springs,AU,-23.7,133.8833,87.8,37,40,9.22,scattered clouds
268,Weihe,CN,32.9952,105.3247,36.91,81,99,1.07,overcast clouds
269,Marsabit,KE,2.3284,37.9899,72.86,62,100,9.75,overcast clouds
270,Chokurdakh,RU,70.6333,147.9167,-35.82,83,96,5.39,overcast clouds
271,Lompoc,US,34.6391,-120.4579,44.6,100,75,3.44,broken clouds
272,Bilma,NE,18.6853,12.9164,75.27,16,0,7.43,clear sky
273,Lavrentiya,RU,65.5833,-171.0,1.87,88,95,5.91,overcast clouds
274,Bulgan,MN,48.8125,103.5347,9.39,90,100,4.5,overcast clouds
275,Sitka,US,57.0531,-135.33,35.6,100,75,6.91,broken clouds
276,Saint George,US,37.1041,-113.5841,43.0,65,75,4.61,broken clouds
277,Salinopolis,BR,-0.6136,-47.3561,85.57,64,85,12.06,overcast clouds
278,Hasaki,JP,35.7333,140.8333,41.0,100,75,14.97,light rain
279,Banda Aceh,ID,5.5577,95.3222,77.74,81,33,9.31,scattered clouds
280,Sampit,ID,-2.5333,112.95,74.8,92,100,0.04,moderate rain
281,San Patricio,US,28.017,-97.5169,66.2,100,90,13.8,mist
282,Tungor,RU,53.3808,142.9564,-16.6,85,5,6.44,clear sky
283,Ratnagiri,IN,16.9833,73.3,76.64,76,28,8.86,scattered clouds
284,Bathsheba,BB,13.2167,-59.5167,84.2,61,40,18.41,scattered clouds
285,Dossor,KZ,47.5272,52.9811,32.4,98,100,9.42,overcast clouds
286,Kropotkin,RU,45.4375,40.5756,34.47,86,31,7.65,scattered clouds
287,San Andres,CO,12.5847,-81.7006,80.98,76,91,17.13,overcast clouds
288,Coahuayana,MX,18.7333,-103.6833,73.4,53,75,0.49,broken clouds
289,Auch,FR,43.65,0.5833,46.0,81,100,5.99,overcast clouds
290,Ipora,BR,-16.4419,-51.1178,84.51,60,93,6.31,moderate rain
291,Manisa,TR,38.8333,28.1667,41.92,82,100,2.86,overcast clouds
292,Vila Franca Do Campo,PT,37.7167,-25.4333,66.0,94,20,13.8,few clouds
293,Bethel,US,41.3712,-73.414,27.0,50,90,11.5,overcast clouds
294,Ahipara,NZ,-35.1667,173.1667,60.39,83,2,7.14,clear sky
295,Sorland,NO,67.667,12.6934,26.35,91,66,15.12,broken clouds
296,Hobyo,SO,5.3505,48.5268,77.18,71,16,21.36,few clouds
297,Salalah,OM,17.0151,54.0924,77.0,18,0,11.5,clear sky
298,Cabo San Lucas,MX,22.8909,-109.9124,68.0,60,40,5.75,scattered clouds
299,Muravlenko,RU,63.7898,74.523,-45.29,78,12,9.93,few clouds
300,Balkhash,KZ,46.844,74.9804,14.81,96,100,6.04,overcast clouds
301,Saint Anthony,US,45.0205,-93.218,17.6,73,90,8.05,overcast clouds
302,Saint-Francois,FR,46.4154,3.9054,42.8,87,90,10.36,overcast clouds
303,Necochea,AR,-38.5473,-58.7368,93.0,43,0,5.99,clear sky
304,Soe,ID,-9.8607,124.284,68.27,97,100,2.42,overcast clouds
305,Lovozero,RU,68.005,35.0117,-0.42,92,100,18.79,snow
306,Khor,RU,47.8861,134.9464,1.49,91,49,3.91,scattered clouds
307,Dapaong,TG,10.8639,0.205,93.0,10,100,7.29,overcast clouds
308,Savannah Bight,HN,16.45,-85.85,82.4,69,75,16.67,broken clouds
309,Sinegorye,RU,62.0788,150.477,-27.49,81,100,1.7,overcast clouds
310,Bogorodskoye,RU,56.55,37.8833,33.19,98,100,7.92,overcast clouds
311,Cayenne,GF,4.9333,-52.3333,84.2,79,75,16.11,light rain
